SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR
80,97,99,99,100,98,96,68,99,98,96,100,99,71,97,71,75,81,99,83,87,65,89,78,78,92,79,99,92,99
81,96,97,97,98,98,99,68,99,77,100,99,78,71,96,69,75,82,98,66,64,67,88,81,79,90,79,97,91,100
99,98,98,98,99,99,100,70,99,73,99,96,80,100,97,69,75,97,80,83,63,83,89,78,81,90,78,100,92,97
98,96,100,100,99,98,96,71,99,75,99,100,79,72,99,68,97,80,100,65,85,67,69,80,81,90,82,99,92,96
100,98,96,98,97,96,100,72,99,99,98,96,80,70,97,68,77,80,80,86,65,84,68,79,79,89,80,99,92,99
79,100,98,98,100,100,100,72,96,75,97,96,99,68,96,72,75,79,79,85,64,85,90,78,81,91,82,100,90,99
100,98,97,100,100,100,98,72,97,97,100,98,100,97,100,71,73,99,81,87,66,65,69,80,79,89,82,100,92,100
98,96,96,96,99,98,97,70,100,98,98,98,81,98,100,68,77,99,78,66,83,67,92,80,79,90,82,97,89,100
81,97,99,96,96,97,99,69,99,76,96,99,79,99,99,68,96,97,80,84,66,63,92,79,81,91,79,97,92,99
78,97,97,97,97,99,96,69,98,96,98,99,99,100,97,72,75,80,100,64,66,66,88,79,79,91,79,100,92,99
78,99,99,96,99,97,98,72,98,96,99,100,81,68,96,68,100,97,100,66,66,85,88,82,79,89,80,98,92,99
82,98,99,97,97,97,100,69,100,77,99,97,79,99,99,70,96,97,79,87,87,63,71,82,81,90,80,98,89,99
99,99,99,99,98,99,96,71,100,100,98,98,80,100,96,72,100,97,96,64,63,85,88,80,78,88,81,97,92,100
78,96,100,99,99,96,98,68,96,77,96,100,78,69,98,69,74,99,81,66,66,65,69,79,79,88,78,96,90,99
99,97,99,99,97,99,96,69,98,99,96,98,97,71,98,71,96,79,96,65,87,83,72,78,78,88,82,96,89,96
96,100,98,97,99,97,98,69,96,77,100,98,81,97,99,69,100,79,97,85,85,66,88,82,78,88,78,99,92,97
82,98,100,99,97,100,100,72,96,100,96,100,96,99,99,72,97,96,82,85,64,65,69,79,80,89,78,97,89,97
100,98,99,97,99,99,100,71,96,74,99,100,78,99,100,68,98,97,79,87,66,64,71,80,82,89,82,98,92,96
82,97,98,97,100,99,96,72,97,74,98,98,96,71,97,69,77,99,80,64,66,86,89,78,81,90,81,96,88,97
81,100,100,99,100,99,99,68,97,98,98,97,80,68,96,71,76,99,79,67,86,63,89,80,81,88,81,99,91,99
98,100,98,98,96,100,96,70,96,98,97,98,96,98,99,69,97,98,99,66,83,65,69,80,79,88,78,99,88,98
79,100,97,96,97,97,97,70,99,77,98,99,99,72,98,72,75,97,99,86,67,86,69,81,80,88,78,97,88,98
78,100,98,99,100,100,97,68,97,73,100,98,98,69,96,69,73,97,98,66,67,67,90,81,79,92,79,97,89,96
100,98,98,99,98,100,97,71,96,77,97,96,79,72,100,69,100,97,82,87,87,63,91,78,78,88,80,96,90,99
80,99,100,99,96,100,98,70,96,77,97,99,82,98,97,72,77,96,100,84,66,86,88,81,80,90,82,98,91,98
100,100,99,96,100,98,96,71,100,73,100,97,98,96,100,72,74,82,79,66,84,66,92,81,80,92,80,100,90,99
80,100,98,98,96,96,96,70,100,74,98,96,98,71,96,71,73,78,82,64,87,66,68,80,78,88,81,100,90,99
96,98,100,99,98,99,99,72,98,75,99,96,78,97,99,71,98,79,99,65,63,84,88,79,81,92,81,100,90,100
97,100,96,99,99,97,99,71,96,74,99,97,80,99,97,70,74,82,81,86,65,85,68,82,82,89,81,98,90,98
98,97,100,100,98,98,98,72,96,96,96,98,97,72,99,71,98,100,81,84,83,63,88,81,79,91,78,97,90,98
96,98,99,96,97,100,96,71,99,76,98,96,79,100,100,70,77,98,97,87,87,85,91,80,79,88,82,99,90,97
79,96,100,100,99,97,100,69,100,75,99,98,99,69,99,69,97,78,79,67,65,66,68,81,79,90,79,97,91,100
79,97,96,97,99,100,99,70,96,96,99,98,80,72,100,72,100,82,100,67,86,84,92,79,82,89,81,97,91,100
82,100,97,97,98,99,98,71,100,77,98,100,99,96,97,70,98,79,97,66,84,67,88,78,81,88,81,98,91,98
78,97,97,99,99,100,100,72,97,77,96,100,98,70,99,70,96,98,97,84,84,63,90,82,78,91,82,98,92,99
81,98,98,97,96,99,96,69,98,74,100,99,99,71,99,68,99,82,97,63,65,87,92,80,78,91,79,99,89,99
96,97,96,99,97,97,98,69,99,73,100,98,100,71,100,68,76,97,99,65,64,66,72,79,78,88,81,100,89,99
78,98,97,97,96,100,100,68,99,73,96,97,98,71,98,71,74,82,99,85,86,85,69,82,81,91,80,98,88,100
79,98,100,96,96,98,99,72,99,98,98,100,98,96,98,68,96,98,80,63,65,84,69,78,81,91,79,100,91,97
99,100,99,100,100,97,99,69,99,98,99,98,80,69,97,72,96,78,82,65,64,83,72,79,81,90,78,98,90,100
99,100,100,99,100,96,96,72,97,99,100,99,99,96,99,72,76,78,96,63,86,87,70,81,80,92,78,96,92,98
78,97,97,100,98,97,100,72,99,97,99,99,80,98,97,70,76,82,98,86,84,65,68,79,79,91,79,98,91,99
100,96,97,96,99,98,100,69,96,100,96,98,79,97,98,70,99,80,96,85,66,64,72,78,81,90,81,97,89,98
98,96,100,99,99,99,98,72,97,75,99,99,99,69,98,72,97,97,79,63,84,65,72,78,79,88,78,99,88,98
82,97,97,97,96,97,99,69,96,97,96,96,79,70,99,71,96,98,81,87,83,64,69,82,78,90,78,96,88,99
81,97,98,97,97,97,98,71,99,99,97,99,96,72,97,70,97,81,78,64,67,63,70,79,78,88,78,97,91,96
97,99,99,98,98,96,98,71,97,98,98,99,99,70,100,69,77,96,80,83,85,67,69,79,82,89,80,100,92,97
78,98,100,98,98,98,96,70,100,73,98,99,96,98,99,70,97,80,78,84,83,63,90,81,78,91,80,100,89,97
98,96,99,96,98,96,100,70,97,97,99,97,97,98,100,71,98,81,82,65,65,83,89,79,79,91,78,98,91,96
97,98,99,99,96,96,98,71,99,100,98,98,97,68,99,69,77,99,98,85,66,65,71,81,79,91,82,100,91,99
82,100,100,96,99,97,96,69,100,99,99,96,99,69,97,70,74,82,79,65,86,86,70,82,82,90,79,98,91,99
97,96,97,99,99,99,97,72,97,75,96,100,100,69,99,68,97,97,98,85,63,65,70,82,81,91,81,100,92,98
97,99,100,100,100,99,99,68,97,99,99,100,100,96,99,72,74,99,96,86,65,85,89,80,81,88,79,97,90,98
80,99,100,96,100,100,98,68,98,97,99,100,99,97,96,71,76,97,98,66,65,87,72,80,79,90,78,96,91,100
99,96,98,98,97,97,98,71,96,74,99,98,80,72,98,70,76,96,79,85,67,64,71,78,78,88,81,99,91,96
98,96,98,100,99,99,99,70,97,97,96,97,81,72,96,72,96,82,79,86,85,84,89,78,80,88,78,97,88,97
100,99,97,100,96,100,98,68,97,74,96,100,80,69,100,71,77,80,81,87,85,84,91,82,79,91,82,98,90,96
80,100,99,96,96,99,96,70,100,97,96,96,79,96,98,69,99,100,79,63,67,64,71,79,80,90,81,96,88,98
99,100,98,96,96,96,99,72,96,77,98,100,78,97,98,68,75,100,82,83,85,64,91,79,82,88,78,97,89,97
97,99,97,96,99,100,99,70,96,74,98,100,98,72,96,69,75,98,99,85,84,64,71,82,78,88,79,99,90,100
100,98,96,97,97,97,99,71,100,99,98,100,78,71,100,71,75,78,79,85,67,85,69,82,79,88,81,97,91,100
78,99,99,98,99,99,96,71,100,74,99,97,100,70,98,70,99,99,82,67,83,87,89,78,82,89,79,99,90,96
81,97,96,100,96,98,100,68,96,99,96,96,96,98,100,69,97,81,81,83,85,64,70,81,80,89,78,100,91,98
82,99,100,98,98,97,100,68,97,96,99,99,96,96,97,68,99,96,78,64,83,64,88,80,78,89,81,98,88,98
81,96,97,98,100,99,99,69,99,100,97,100,98,72,97,69,76,100,99,65,85,87,92,80,82,88,78,96,89,99
80,97,100,100,98,99,96,71,97,77,99,97,79,69,99,71,96,79,99,85,63,87,68,78,78,88,79,96,89,98
81,96,97,96,96,99,100,71,99,96,97,98,79,70,99,70,98,82,82,86,65,64,91,79,78,89,79,97,88,98
99,96,98,100,100,98,96,72,97,74,100,100,78,69,100,72,73,99,78,86,85,66,90,78,79,89,78,97,88,96
100,96,99,96,98,99,100,70,98,76,97,99,96,70,98,68,77,97,99,67,66,86,89,80,80,92,79,98,89,98
79,99,96,99,96,98,97,68,99,99,100,99,97,96,97,68,99,81,99,64,64,63,72,78,79,91,78,97,90,100
98,98,97,96,97,100,97,68,99,98,98,100,80,72,96,68,73,82,79,65,67,86,89,82,79,88,82,98,91,99
80,96,99,100,98,100,98,68,100,77,100,96,100,98,100,69,77,98,79,83,65,65,70,81,82,91,79,100,89,97
81,98,98,97,99,100,98,71,98,73,98,100,100,97,100,68,73,82,78,64,63,64,89,80,81,90,79,100,90,98
82,100,100,97,100,99,96,72,99,75,98,100,78,100,100,70,100,82,96,66,64,65,91,79,79,92,78,97,88,100
82,100,97,96,97,99,100,70,96,100,98,97,97,97,97,72,74,100,96,67,66,64,91,82,82,89,80,97,91,100
99,99,98,96,100,100,100,68,96,73,97,99,81,70,96,71,99,82,98,64,66,83,68,78,78,89,80,100,92,96
100,97,98,97,97,97,99,68,99,76,97,98,82,99,96,71,96,78,99,84,84,84,71,79,82,92,80,97,88,96
98,100,99,99,97,97,100,71,97,73,99,98,81,69,96,70,74,96,100,67,87,83,72,81,82,92,82,97,92,99
100,97,96,98,96,97,98,70,100,100,100,96,78,69,97,70,96,96,98,64,83,64,70,79,80,90,78,97,89,96
80,98,97,98,99,100,98,70,100,77,98,97,98,72,96,71,75,99,81,83,65,66,69,79,81,88,79,96,89,97
78,100,98,100,96,97,99,70,97,76,97,97,97,100,99,71,98,79,79,85,64,86,70,81,78,88,78,97,90,100
81,97,97,98,97,98,100,72,100,97,98,99,96,68,98,72,75,96,78,85,86,64,71,79,81,90,82,100,88,99
80,98,98,100,99,97,99,70,100,100,96,96,80,68,98,71,100,98,98,63,86,83,72,82,82,90,80,100,92,100
96,99,96,97,98,100,97,69,96,74,98,96,100,99,99,70,73,78,78,64,65,67,91,81,79,90,79,100,88,96
79,96,97,96,96,100,98,70,100,74,98,99,98,68,96,69,97,99,97,63,63,83,70,79,79,89,79,99,89,96
81,100,98,96,96,99,97,68,97,96,99,100,79,98,100,69,96,79,78,83,67,85,72,78,82,92,82,98,92,98
81,100,98,97,96,96,99,72,97,74,99,99,98,96,100,69,76,79,96,87,66,84,72,80,82,89,80,99,92,98
100,100,96,98,97,98,100,70,97,73,99,100,81,98,100,71,73,99,78,83,67,65,92,82,82,90,80,100,90,100
98,100,99,100,97,97,97,70,97,74,97,99,96,68,100,71,98,80,99,85,86,87,92,80,79,90,78,97,88,99
100,97,98,99,96,100,97,70,98,98,97,98,78,68,100,71,77,79,79,83,65,84,69,78,82,91,82,97,89,97
99,96,96,98,98,99,99,69,99,98,99,96,81,69,96,71,98,78,81,84,84,85,70,82,82,92,81,100,91,96
97,100,96,97,98,100,98,68,96,99,99,100,98,98,100,72,97,98,78,85,86,85,68,80,79,90,78,96,92,96
82,100,96,98,96,97,100,69,96,99,98,96,79,100,100,68,76,99,78,87,87,83,68,82,81,92,78,97,89,97
100,99,96,99,99,99,98,71,100,74,100,97,96,98,100,70,77,98,97,86,87,83,69,81,81,92,79,100,88,97
78,99,100,99,100,99,98,72,97,75,96,97,98,68,96,71,100,80,98,63,67,65,72,81,80,88,79,96,88,99
81,100,98,99,98,96,99,72,98,98,97,98,97,100,100,69,76,100,80,87,87,83,69,78,82,91,79,96,92,98
81,100,97,98,97,99,98,72,97,100,99,96,97,68,100,68,74,98,99,65,87,85,68,78,80,88,78,100,91,98
80,98,97,96,100,98,99,72,98,96,97,96,80,99,98,72,76,79,99,67,84,86,91,80,81,89,79,96,89,96
98,97,97,97,97,99,96,69,96,73,97,100,96,71,100,69,75,79,96,86,67,85,92,80,79,88,78,97,88,97
78,99,97,99,98,97,99,72,97,98,100,97,98,96,96,68,96,78,100,87,63,84,92,82,79,92,79,97,92,100
96,98,99,98,96,96,96,70,98,76,98,98,80,100,99,71,77,99,80,67,86,84,70,79,81,90,80,97,92,98
78,100,98,96,96,96,96,71,100,77,96,96,79,68,98,69,99,82,97,66,85,66,70,79,78,89,82,98,90,96
81,96,98,97,97,100,97,68,99,97,100,100,99,97,100,69,97,79,79,66,67,64,68,82,78,88,81,97,89,99
97,98,99,97,96,96,98,69,98,96,98,96,81,98,96,68,98,82,97,83,87,86,71,80,78,89,78,98,89,97
97,99,100,96,97,98,97,70,99,98,99,96,96,97,97,71,73,97,98,85,64,64,69,79,79,91,82,96,91,97
81,97,96,99,100,96,99,70,99,99,96,96,80,69,97,70,97,97,98,86,85,84,91,79,81,90,81,96,89,96
100,99,99,98,100,97,96,72,97,75,96,100,79,70,97,68,98,78,99,86,65,87,92,81,81,90,82,98,89,96
96,98,98,99,97,98,97,72,96,75,100,97,78,68,100,68,97,79,78,67,83,66,92,81,80,89,78,100,89,98
96,97,97,98,96,99,100,71,96,96,97,97,98,71,100,68,74,80,97,67,86,86,70,82,79,92,80,96,90,96
82,98,96,97,97,98,98,71,99,76,96,96,82,69,99,68,74,100,98,63,85,65,90,79,79,92,81,96,89,99
81,99,98,100,100,98,97,71,96,98,100,100,99,96,98,68,96,81,97,65,87,63,90,82,78,90,80,97,90,100
78,99,100,98,98,96,96,68,97,97,99,96,82,72,99,69,96,98,100,64,85,86,88,81,78,91,81,97,88,98
78,97,96,100,97,96,98,71,99,100,97,98,78,71,99,72,99,79,80,86,64,83,90,79,80,92,82,99,91,99
80,100,98,97,100,99,96,71,100,100,100,99,98,99,100,69,75,79,80,63,85,85,72,78,80,89,82,99,92,97
98,99,100,97,97,96,96,71,97,76,100,97,81,71,96,70,74,97,81,63,87,66,68,81,80,92,80,100,92,97
82,98,96,99,96,97,98,71,98,96,98,96,81,99,99,71,100,98,98,63,67,65,70,80,79,91,82,98,90,98
80,96,99,96,97,96,96,69,100,96,100,97,96,96,97,72,97,80,81,66,63,63,89,78,79,92,81,100,91,97
81,99,98,97,96,99,99,72,98,98,98,100,82,71,99,68,96,80,81,63,65,65,91,79,81,88,81,98,89,99
97,99,100,98,99,100,99,72,98,74,100,98,98,72,99,70,76,100,96,66,66,66,92,82,80,88,81,96,91,100
99,98,98,99,97,98,97,69,100,99,98,100,99,100,96,69,98,80,97,83,65,65,91,82,82,90,79,97,90,99
96,98,99,96,99,98,100,69,96,98,96,96,78,69,97,69,77,80,100,65,84,85,72,79,82,89,82,100,89,98
79,99,98,99,99,96,99,72,97,99,96,98,99,68,98,72,76,97,96,86,63,87,91,78,81,90,79,100,92,100
96,97,96,99,96,98,97,70,96,73,100,96,82,98,99,69,96,82,97,84,87,85,90,81,81,88,80,98,91,96
81,97,97,98,97,100,100,72,98,99,97,99,82,99,96,72,74,100,100,86,64,85,91,82,80,92,78,98,88,99
81,97,96,99,100,97,100,71,98,100,98,97,96,99,96,71,99,79,80,87,64,67,88,82,81,90,81,96,89,96
97,100,100,97,99,97,97,71,96,96,96,97,97,72,98,69,74,99,100,67,64,85,88,79,79,90,82,96,89,98
82,98,99,96,99,100,96,72,98,99,96,99,96,99,96,70,98,80,98,86,65,87,70,82,79,88,81,97,91,96
99,100,99,96,100,98,98,68,96,99,96,97,80,96,97,72,98,99,97,67,85,85,69,81,79,92,80,98,90,97
98,97,98,97,97,96,99,69,97,99,97,100,98,72,99,69,74,99,97,86,84,63,72,81,81,88,78,99,91,98
82,99,98,97,99,100,99,68,98,98,100,99,96,71,98,70,76,96,96,65,63,67,92,82,79,91,79,97,88,98
82,100,100,98,97,99,100,70,100,99,96,97,81,68,96,68,76,80,98,85,63,86,70,78,78,90,80,97,89,99
80,100,100,97,99,97,99,69,99,77,99,96,82,99,99,70,77,97,79,67,67,85,71,80,78,90,81,97,90,98
100,96,97,98,100,99,99,68,98,77,98,100,82,100,96,69,75,97,99,66,65,65,90,81,80,91,79,96,89,99
96,98,96,97,99,99,97,72,100,100,96,100,99,71,98,68,75,99,81,65,63,66,92,80,78,88,78,99,90,100
99,98,100,98,100,97,100,71,99,77,97,99,96,71,98,68,96,81,99,84,85,83,69,80,78,88,81,98,89,99
80,96,98,96,99,96,96,72,100,96,100,98,81,98,97,72,97,80,81,64,63,64,88,79,80,89,81,98,89,99
100,96,99,100,100,97,99,71,99,73,99,96,79,96,99,71,100,96,79,86,87,83,72,78,82,92,82,96,88,99
78,96,99,96,96,97,97,69,99,73,96,99,100,68,99,72,74,100,80,84,63,65,89,79,78,89,81,97,90,97
79,100,98,100,99,96,100,68,100,96,99,97,99,99,98,71,74,98,82,63,87,86,88,82,81,92,78,97,89,98
79,100,100,97,96,96,100,70,99,99,97,100,98,68,98,72,98,80,99,83,87,85,68,79,78,88,78,98,91,100
99,100,96,98,96,97,99,70,100,96,98,99,82,97,99,68,75,100,79,84,85,86,92,79,81,91,80,99,89,97
99,100,97,98,100,97,99,68,98,96,97,99,78,99,100,70,75,100,100,67,85,83,92,82,80,88,79,98,89,97
98,99,96,96,100,98,97,69,96,98,98,100,80,99,97,72,73,78,80,63,65,63,92,79,79,91,81,97,91,97
82,99,97,99,96,99,96,68,99,96,99,100,78,98,96,71,100,96,99,85,64,66,70,78,82,91,80,99,90,99
100,97,98,98,97,96,97,69,99,76,99,98,80,97,100,71,73,98,97,87,66,83,70,82,80,90,81,99,92,100
78,97,97,96,96,96,97,69,97,76,99,99,80,98,98,72,96,97,97,65,86,83,71,78,78,91,81,96,92,100
80,96,96,99,96,96,98,71,100,76,96,98,81,72,100,72,74,80,96,86,86,85,72,78,81,91,81,96,92,97
82,98,100,96,98,99,99,70,98,76,99,98,81,99,100,69,96,78,82,87,67,63,89,82,81,90,81,98,89,100
81,98,99,100,98,98,100,71,100,73,97,100,81,97,99,71,97,97,81,86,85,65,91,80,82,91,78,97,88,98
78,100,97,97,96,100,100,70,97,99,98,100,98,99,96,68,100,98,100,63,63,85,71,78,78,91,78,96,91,99
97,100,98,97,100,99,96,71,96,98,99,97,96,98,97,68,75,80,80,67,87,86,71,80,79,92,80,100,90,99
78,96,98,97,98,96,96,70,97,74,99,100,79,72,97,72,99,82,79,65,64,66,89,82,78,89,81,100,92,99
100,96,97,97,96,98,100,71,100,76,98,99,96,97,97,68,99,78,78,63,83,83,69,79,78,89,80,100,92,100
81,97,96,98,99,99,98,68,100,74,100,99,96,70,100,69,100,82,96,67,66,66,92,78,78,91,79,98,92,97
99,96,100,96,98,96,100,71,98,100,97,96,100,69,98,71,96,99,99,86,63,63,90,81,80,88,81,98,91,97
81,98,98,99,98,99,97,68,97,97,100,96,81,70,97,72,73,82,100,83,83,86,70,78,78,89,80,99,88,98
96,96,96,99,99,99,97,70,97,75,99,97,96,100,100,69,96,97,100,83,63,83,88,79,80,88,78,100,89,99
96,98,98,98,96,96,97,72,98,96,98,96,97,96,100,72,100,98,99,65,65,64,91,79,78,89,80,98,89,98
96,96,97,99,97,99,98,70,99,100,100,96,97,96,96,72,73,79,79,87,87,65,72,80,81,89,80,100,89,100
80,96,98,98,96,98,97,70,97,98,96,97,96,99,98,70,98,98,99,63,65,64,72,80,81,89,80,99,88,96
81,98,97,96,97,97,96,68,98,77,96,96,80,72,99,71,98,82,99,65,85,64,92,78,78,89,80,97,88,99
81,96,98,97,99,100,96,72,100,97,96,100,82,69,98,72,96,100,96,64,63,84,91,79,81,90,81,96,89,100
96,99,99,99,98,100,98,70,98,100,100,97,97,98,96,71,97,79,78,86,63,65,92,82,79,91,82,98,90,100
82,100,99,99,98,96,98,68,98,75,99,96,96,68,98,71,76,78,82,66,87,84,91,78,79,88,82,96,88,96
96,96,100,100,98,100,98,70,97,100,97,98,96,70,100,69,98,96,98,84,66,83,70,79,82,91,80,97,89,99
100,99,97,96,98,99,100,68,97,76,99,97,80,100,96,71,76,99,79,84,87,64,68,81,82,89,82,99,92,99
80,97,98,99,97,96,99,69,96,76,98,96,81,98,96,68,76,78,99,63,87,66,72,81,79,89,81,100,90,99
82,100,98,100,97,96,98,72,100,100,100,96,100,98,99,71,76,97,79,66,83,87,69,81,78,88,80,97,88,96
79,96,99,100,96,97,97,72,96,73,99,97,79,100,99,71,73,99,96,63,67,86,91,82,82,89,80,98,91,99
98,98,98,99,98,100,96,68,99,96,96,96,96,70,100,71,99,79,99,67,86,63,89,79,80,88,82,97,88,97
97,100,98,98,97,100,97,72,97,99,97,99,78,68,97,68,97,96,81,64,63,65,92,79,82,92,82,99,88,98
100,97,100,98,99,96,97,72,97,99,99,99,79,97,100,71,76,79,81,83,63,67,69,82,80,91,81,99,89,96
81,97,97,96,99,98,96,70,96,73,97,97,98,100,99,70,73,99,79,84,66,84,88,79,79,89,80,100,91,97
97,96,99,97,100,98,97,70,99,96,98,98,82,70,97,69,73,81,81,85,85,83,89,81,78,91,82,99,88,96
99,98,97,100,98,97,98,72,100,99,96,99,79,96,98,72,75,98,82,83,87,66,69,80,80,90,79,100,90,96
98,100,98,97,98,99,98,69,98,76,97,99,80,72,97,68,98,96,82,63,65,66,72,81,80,92,80,98,90,98
82,98,99,96,99,99,96,72,99,77,100,100,82,99,97,71,96,78,82,86,63,83,91,79,78,88,82,97,90,99
82,96,99,100,97,97,99,70,99,99,100,99,100,68,100,72,96,97,100,86,87,66,90,80,79,90,80,96,89,96
80,98,98,98,100,99,96,72,96,73,100,100,78,98,97,71,75,97,98,63,84,65,88,80,81,91,79,99,90,100
81,96,99,96,98,97,99,71,98,97,96,100,96,72,99,71,75,98,81,63,66,85,72,79,79,89,80,100,88,96
98,99,98,97,100,100,100,69,99,74,96,97,96,68,97,70,97,99,82,83,83,86,71,78,82,92,79,99,89,97
97,98,98,99,96,96,99,69,98,73,100,99,97,70,96,72,76,78,99,67,85,83,92,80,78,89,79,96,91,100
82,100,97,97,100,97,98,68,98,76,98,99,79,70,99,70,73,82,99,83,84,85,69,80,81,90,81,100,89,96
100,97,97,97,96,100,96,69,99,75,97,98,100,100,98,70,76,99,81,65,85,83,90,80,80,88,80,98,90,99
79,100,99,98,96,96,100,72,98,73,96,100,99,72,98,70,73,96,96,66,86,64,91,78,80,89,80,97,88,100
98,98,99,97,96,99,99,69,96,96,97,96,97,72,100,69,96,79,80,67,63,84,92,79,82,90,81,96,88,99
100,99,96,99,100,96,100,71,99,97,97,98,97,96,99,72,76,81,81,67,64,64,71,78,78,89,79,96,89,100
97,99,97,100,100,96,96,70,97,74,99,96,78,69,97,68,74,100,82,67,86,84,88,82,79,90,78,97,88,97
99,99,97,96,99,99,98,70,98,98,96,97,81,69,99,72,75,82,81,64,65,64,88,82,81,90,81,98,88,97
99,96,98,98,97,98,99,70,97,76,96,98,81,97,99,70,98,79,78,65,63,66,90,78,78,92,82,100,91,100
80,97,98,99,100,96,100,70,96,100,98,98,80,68,96,70,77,82,97,83,63,87,68,78,78,90,81,98,90,99
98,100,99,99,99,99,96,70,99,100,97,100,82,98,97,71,75,80,99,84,83,64,70,81,79,89,79,96,92,98
97,100,98,97,100,96,99,69,100,97,97,96,100,100,98,70,75,80,100,64,67,87,69,81,78,92,78,96,91,96
96,99,100,98,97,97,97,71,100,99,98,98,82,97,100,68,100,79,78,87,64,85,71,82,81,90,82,97,92,99
97,98,98,100,97,96,99,71,96,75,97,97,78,96,97,72,73,81,80,64,83,67,91,82,78,88,80,98,90,99
82,98,96,99,96,96,100,68,100,100,98,96,96,69,99,68,75,98,80,84,65,66,91,79,81,88,82,100,92,98
78,100,100,100,97,97,97,69,96,96,97,98,82,98,100,70,77,98,81,85,64,83,90,78,79,90,79,98,92,97
78,98,100,97,100,99,97,72,96,96,96,98,82,70,96,72,96,99,80,83,84,64,70,79,80,90,78,99,92,100
100,100,100,97,96,96,99,71,99,73,100,100,80,98,97,70,75,100,98,85,86,64,69,81,78,88,80,96,89,100
79,96,96,97,98,98,96,70,98,98,99,96,97,100,96,72,76,97,100,87,66,85,72,81,78,91,79,96,90,99
80,97,99,96,97,98,100,70,96,75,98,98,82,98,100,68,100,80,80,83,86,63,91,78,80,90,81,100,89,98
98,99,100,97,100,100,98,72,98,98,99,97,97,70,97,71,76,96,99,63,64,85,68,82,80,91,82,98,91,99
99,98,97,100,98,97,98,69,100,76,97,96,98,68,98,70,96,80,80,87,65,83,90,80,79,90,79,96,90,97
99,96,96,96,99,99,100,69,97,76,97,98,96,70,96,72,73,97,100,63,84,66,68,80,81,91,81,96,90,97
79,97,99,100,96,99,100,70,99,73,100,97,98,99,100,70,77,82,97,67,67,67,92,80,81,92,81,97,92,96
78,96,96,97,97,96,100,68,97,100,98,99,100,99,96,68,96,81,79,87,83,63,89,78,78,89,79,99,92,98
98,97,97,98,96,100,98,70,96,73,96,99,99,100,100,68,77,81,97,84,65,84,91,82,82,92,82,97,89,97
80,97,97,98,100,100,99,69,99,96,98,100,78,96,97,71,74,100,78,63,84,67,72,80,79,90,79,97,89,100
78,97,97,99,100,99,97,70,97,77,100,100,100,100,98,69,76,79,97,65,66,64,71,82,80,90,82,100,91,100
